sexo,poblacion_Desocupada,poblacion_Ocupada,poblacion_Total,estado
Total,30743,1766690,1797433,Oaxaca
Hombres,18948,999821,1018769,Oaxaca
Mujeres,11795,766869,778664,Oaxaca
Total,55562,2068483,2124045,Chiapas
Hombres,32413,1417037,1449450,Chiapas
Mujeres,23149,651446,674595,Chiapas
Total,57702,1031968,1089670,Tabasco
Hombres,31558,643777,675335,Tabasco
Mujeres,26144,388191,414335,Tabasco
Total,12364,435961,448325,Campeche
Hombres,7750,269822,277572,Campeche
Mujeres,4614,166139,170753,Campeche
Total,25607,851473,877080,Quintana Roo
Hombres,14241,525859,540100,Quintana Roo
Mujeres,11366,325614,336980,Quintana Roo
Total,21992,1086089,1108081,Yucatán
Hombres,11421,651820,663241,Yucatán
Mujeres,10571,434269,444840,Yucatán
